Fichero,Tipo,ValorBLb,TiempoBLb,ValorBLf,TiempoBLf,ValorES,TiempoES,MejorValor
GKD-Ia_71_n30_m24.txt,MMDP,70.7563,.013203338,70.7563,.013062069,65.4161,.012792159,70.7563
GKD-Ia_71_n30_m24.txt,MMDP,70.7563,.013499202,70.7563,.012953643,69.3403,.012924227,70.7563
GKD-Ia_72_n30_m24.txt,MMDP,124.483,.013133899,124.483,.013034284,121.459,.013680384,124.4833
GKD-Ia_72_n30_m24.txt,MMDP,124.483,.014531645,124.483,.013124787,122.587,.014043073,124.4833
GKD-Ia_72_n30_m24.txt,MMDP,124.483,.015388117,124.483,.012883012,124.483,.013296935,124.4833
GKD-Ic_10_n500_m50.txt,MMDP,5.32447,1.791835258,9.56086,9.674094512,8.89775,2.754663374,10.47
GKD-Ic_10_n500_m50.txt,MMDP,5.32447,1.978259101,8.85438,9.401031563,8.57146,1.948209487,10.47
GKD-Ic_10_n500_m50.txt,MMDP,5.32447,2.750379951,9.91211,9.779252167,8.99889,2.834171247,10.47
GKD-Ic_11_n500_m50.txt,MMDP,6.10492,1.777160808,9.72368,9.613808325,8.60639,1.918823922,10.47
GKD-Ic_11_n500_m50.txt,MMDP,6.10492,1.778820218,7.91833,7.415484929,8.71321,2.349379536,10.47
GKD-Ic_11_n500_m50.txt,MMDP,6.10492,1.951817607,9.45251,8.724648706,8.39524,2.206259745,10.47
GKD-Ic_12_n500_m50.txt,MMDP,5.30471,1.777809621,8.11911,9.276499487,8.04674,1.760378101,10.38
GKD-Ic_12_n500_m50.txt,MMDP,5.30471,1.942894953,9.45463,9.850398786,8.81646,2.137139513,10.38
GKD-Ic_12_n500_m50.txt,MMDP,5.30471,1.983385222,9.66851,8.602039592,8.45872,2.217002923,10.38
GKD-Ic_13_n500_m50.txt,MMDP,5.91608,1.791434892,9.48051,10.012589133,8.4788,2.277776931,10.29
GKD-Ic_13_n500_m50.txt,MMDP,5.91608,1.976583383,9.5687,9.312671091,8.36481,1.926428690,10.29
GKD-Ic_13_n500_m50.txt,MMDP,5.91608,3.242409568,8.04984,6.918637177,8.80909,2.854868397,10.29
GKD-Ic_14_n500_m50.txt,MMDP,5.76455,1.776675104,8.71952,8.684362759,8.6487,2.481154503,10.49
GKD-Ic_14_n500_m50.txt,MMDP,5.76455,1.776696098,9.71391,10.005932968,8.50294,2.197174091,10.49
GKD-Ic_14_n500_m50.txt,MMDP,5.76455,1.938032936,9.60781,9.706143516,8.93756,2.602017603,10.49
GKD-Ic_15_n500_m50.txt,MMDP,5.12543,1.773019803,7.37428,6.108154259,8.49058,2.036696726,10.61
GKD-Ic_15_n500_m50.txt,MMDP,5.12543,1.802288534,9.23905,8.084532446,8.84873,2.850713374,10.61
GKD-Ic_15_n500_m50.txt,MMDP,5.12543,1.943602045,7.37428,6.742243689,8.58312,2.254564867,10.61
GKD-Ic_16_n500_m50.txt,MMDP,5.93633,1.794140609,9.69536,9.316561966,8.83402,2.563822584,10.61
GKD-Ic_16_n500_m50.txt,MMDP,5.93633,1.940675936,9.83056,8.571761171,8.63887,1.946086655,10.61
GKD-Ic_16_n500_m50.txt,MMDP,5.93633,1.948586604,5.93633,4.668618988,8.7818,2.138914690,10.61
GKD-Ic_17_n500_m50.txt,MMDP,5.24118,1.774437086,9.56713,10.200943755,8.8955,2.567554261,10.53
GKD-Ic_17_n500_m50.txt,MMDP,5.24118,1.796920408,8.14801,7.542509332,8.50176,2.090749279,10.53
GKD-Ic_17_n500_m50.txt,MMDP,5.24118,1.960240611,8.14801,7.321374514,8.34985,1.923698748,10.53
GKD-Ic_18_n500_m50.txt,MMDP,4.88569,1.948336784,9.22117,8.280880670,8.45577,2.159280321,10.54
GKD-Ic_18_n500_m50.txt,MMDP,4.88569,1.954816959,7.15402,6.678530337,8.70345,2.619645987,10.54
GKD-Ic_18_n500_m50.txt,MMDP,4.88569,4.531666957,8.66083,9.376589911,8.81986,2.349493614,10.54
GKD-Ic_19_n500_m50.txt,MMDP,5.09411,1.791310341,8.26741,7.886333502,8.73785,2.289700434,10.56
GKD-Ic_19_n500_m50.txt,MMDP,5.09411,1.918101279,7.36342,6.928112321,8.91347,2.600489458,10.56
GKD-Ic_19_n500_m50.txt,MMDP,5.09411,1.966720929,9.6623,8.636847609,8.59186,2.178042013,10.56
GKD-Ic_1_n500_m50.txt,MMDP,5.29245,1.777912604,9.64624,9.415603694,8.65563,2.255934159,10.59
GKD-Ic_1_n500_m50.txt,MMDP,5.29245,1.788399439,9.70773,8.362340322,8.3857,1.919588348,10.59
GKD-Ic_1_n500_m50.txt,MMDP,5.29245,1.833086049,8.00625,6.455119576,8.93197,2.389939790,10.59
GKD-Ic_20_n500_m50.txt,MMDP,6.03904,1.778541965,9.33381,9.242540358,8.66083,2.117168043,10.56
GKD-Ic_20_n500_m50.txt,MMDP,6.03904,1.942862602,7.97245,6.868962651,8.57613,2.021137280,10.56
GKD-Ic_20_n500_m50.txt,MMDP,6.03904,3.074916612,8.83233,8.862123305,8.69483,2.180255268,10.56
GKD-Ic_2_n500_m50.txt,MMDP,4.97594,1.786244898,6.52993,4.659443890,9.4504,3.744543881,10.63
GKD-Ic_2_n500_m50.txt,MMDP,4.97594,1.793937948,6.52993,5.165036111,8.57496,2.046499952,10.63
GKD-Ic_2_n500_m50.txt,MMDP,4.97594,1.956429993,6.52993,5.832600416,8.69137,2.211674991,10.63
GKD-Ic_3_n500_m50.txt,MMDP,5.67627,1.779558198,9.58123,9.574945512,8.98053,2.676088892,10.43
GKD-Ic_3_n500_m50.txt,MMDP,5.67627,1.988948515,9.47259,9.065841320,8.72697,2.247605554,10.43
GKD-Ic_3_n500_m50.txt,MMDP,5.67627,3.166159436,9.58123,9.865173903,8.5773,1.988248659,10.43
GKD-Ic_4_n500_m50.txt,MMDP,4.92747,1.788658828,9.67419,9.557807034,8.48999,1.947239744,10.54
GKD-Ic_4_n500_m50.txt,MMDP,4.92747,1.815474017,9.03604,9.801055296,8.78009,2.179158589,10.54
GKD-Ic_4_n500_m50.txt,MMDP,4.92747,1.959512289,9.67264,9.748410115,8.44748,2.361146225,10.54
GKD-Ic_5_n500_m50.txt,MMDP,5.469,1.779096474,8.11911,9.119100757,8.5668,2.011182533,10.51
GKD-Ic_5_n500_m50.txt,MMDP,5.469,1.898208591,8.46168,9.462312420,8.58778,2.313212412,10.51
GKD-Ic_5_n500_m50.txt,MMDP,5.469,1.949947390,8.57205,8.721175483,8.49353,1.965136199,10.51
GKD-Ic_6_n500_m50.txt,MMDP,5.60803,1.774169165,9.69639,8.361546053,8.34985,1.897600352,10.37
GKD-Ic_6_n500_m50.txt,MMDP,5.60803,1.783885992,9.37497,8.451624220,8.59069,1.968917691,10.37
GKD-Ic_6_n500_m50.txt,MMDP,5.60803,1.864079380,9.63846,9.065516687,9.04931,2.627163543,10.37
GKD-Ic_7_n500_m50.txt,MMDP,5.41479,1.773259474,9.26661,9.506789008,8.72239,2.278898331,10.57
GKD-Ic_7_n500_m50.txt,MMDP,5.41479,1.788520645,9.28063,9.497289640,8.69483,2.470473668,10.57
GKD-Ic_7_n500_m50.txt,MMDP,5.41479,2.007482330,7.13793,7.085730651,8.6764,2.250705352,10.57
GKD-Ic_8_n500_m50.txt,MMDP,6.11474,1.776817855,9.74012,9.998441680,8.78465,2.283716279,10.52
GKD-Ic_8_n500_m50.txt,MMDP,6.11474,1.805207322,8.96493,8.716652598,8.45754,1.968939446,10.52
GKD-Ic_8_n500_m50.txt,MMDP,6.11474,1.943499213,9.75244,8.469142017,8.82383,2.400882004,10.52
GKD-Ic_9_n500_m50.txt,MMDP,5.72713,1.775913812,8.79318,9.624844850,8.6093,2.582317210,10.26
GKD-Ic_9_n500_m50.txt,MMDP,5.72713,1.799222653,9.75551,9.551961706,8.60116,2.276275831,10.26
GKD-Ic_9_n500_m50.txt,MMDP,5.72713,1.952724555,8.75785,9.767167015,8.83459,2.596358782,10.26
att48.txt,TSP,57876.8,.026755613,53767.4,.016505581,38865.2,.029466922,10628
att48.txt,TSP,59046.2,.026014032,46897.1,.015418334,38731.6,.031475108,10628
att48.txt,TSP,63700.9,.026677947,47714.9,.017036049,40459.3,.037423687,10628
berlin52.txt,TSP,12693.8,.025926363,10295,.020224116,9868.11,.032637400,7542
berlin52.txt,TSP,13106.8,.027678438,9708.54,.020749169,9628.02,.031023553,7542
berlin52.txt,TSP,13419.8,.027106041,10241.6,.023069590,9508.8,.027374739,7542
ch130.txt,TSP,32239.5,.102959944,11319,.114382338,7926.54,.185227075,6110
